DataZone,IntZone,CA,HSCP,HB,SIMD2012Rank,SIMD2012CountryDecile,SIMD2012CountryQuintile,SIMD2012HBDecile,SIMD2012HBQuintile,SIMD2012HSCPDecile,SIMD2012HSCPQuintile,SIMD2012CADecile,SIMD2012CAQuintile,SIMD2012Most15pc,SIMD2012Least15pc
S01000001,S02000003,S12000033,S37000001,S08000020,4726,8,4,6,3,6,3,6,3,0,0
S01000002,S02000001,S12000033,S37000001,S08000020,6214,10,5,10,5,9,5,9,5,0,1
S01000003,S02000001,S12000033,S37000001,S08000020,6238,10,5,10,5,9,5,9,5,0,1
S01000004,S02000001,S12000033,S37000001,S08000020,6068,10,5,9,5,8,4,8,4,0,1
S01000005,S02000003,S12000033,S37000001,S08000020,5883,10,5,9,5,8,4,8,4,0,1
S01000006,S02000003,S12000033,S37000001,S08000020,4812,8,4,6,3,6,3,6,3,0,0
S01000007,S02000003,S12000033,S37000001,S08000020,6171,10,5,9,5,9,5,9,5,0,1
S01000008,S02000003,S12000033,S37000001,S08000020,4548,7,4,5,3,6,3,6,3,0,0
S01000009,S02000001,S12000033,S37000001,S08000020,5159,8,4,7,4,6,3,6,3,0,0
S01000010,S02000001,S12000033,S37000001,S08000020,6092,10,5,9,5,9,5,9,5,0,1
S01000011,S02000007,S12000033,S37000001,S08000020,6002,10,5,9,5,8,4,8,4,0,1
S01000012,S02000002,S12000033,S37000001,S08000020,5491,9,5,8,4,7,4,7,4,0,0
S01000013,S02000003,S12000033,S37000001,S08000020,4702,8,4,6,3,6,3,6,3,0,0
S01000014,S02000005,S12000033,S37000001,S08000020,5274,9,5,7,4,6,3,6,3,0,0
S01000015,S02000005,S12000033,S37000001,S08000020,6210,10,5,10,5,9,5,9,5,0,1
S01000016,S02000007,S12000033,S37000001,S08000020,6162,10,5,9,5,9,5,9,5,0,1
S01000017,S02000005,S12000033,S37000001,S08000020,4808,8,4,6,3,6,3,6,3,0,0
S01000018,S02000005,S12000033,S37000001,S08000020,4908,8,4,6,3,6,3,6,3,0,0
S01000019,S02000007,S12000033,S37000001,S08000020,5918,10,5,9,5,8,4,8,4,0,1
S01000020,S02000004,S12000033,S37000001,S08000020,4026,7,4,5,3,5,3,5,3,0,0
S01000021,S02000002,S12000033,S37000001,S08000020,3982,6,3,5,3,5,3,5,3,0,0
S01000022,S02000004,S12000033,S37000001,S08000020,6167,10,5,9,5,9,5,9,5,0,1
S01000023,S02000007,S12000033,S37000001,S08000020,6000,10,5,9,5,8,4,8,4,0,1
S01000024,S02000003,S12000033,S37000001,S08000020,5602,9,5,8,4,7,4,7,4,0,1
S01000025,S02000004,S12000033,S37000001,S08000020,6010,10,5,9,5,8,4,8,4,0,1
S01000026,S02000006,S12000033,S37000001,S08000020,1260,2,1,1,1,2,1,2,1,0,0
S01000027,S02000004,S12000033,S37000001,S08000020,5980,10,5,9,5,8,4,8,4,0,1
S01000028,S02000002,S12000033,S37000001,S08000020,2052,4,2,2,1,3,2,3,2,0,0
S01000029,S02000004,S12000033,S37000001,S08000020,6042,10,5,9,5,8,4,8,4,0,1
S01000030,S02000002,S12000033,S37000001,S08000020,2448,4,2,2,1,3,2,3,2,0,0
S01000031,S02000004,S12000033,S37000001,S08000020,6174,10,5,9,5,9,5,9,5,0,1
S01000032,S02000002,S12000033,S37000001,S08000020,2591,4,2,2,1,3,2,3,2,0,0
S01000033,S02000006,S12000033,S37000001,S08000020,1519,3,2,1,1,2,1,2,1,0,0
S01000034,S02000004,S12000033,S37000001,S08000020,6224,10,5,10,5,9,5,9,5,0,1
S01000035,S02000008,S12000033,S37000001,S08000020,2969,5,3,3,2,4,2,4,2,0,0
S01000036,S02000008,S12000033,S37000001,S08000020,1585,3,2,1,1,2,1,2,1,0,0
S01000037,S02000005,S12000033,S37000001,S08000020,2382,4,2,2,1,3,2,3,2,0,0
S01000038,S02000006,S12000033,S37000001,S08000020,3264,5,3,3,2,4,2,4,2,0,0
S01000039,S02000008,S12000033,S37000001,S08000020,2536,4,2,2,1,3,2,3,2,0,0
S01000040,S02000006,S12000033,S37000001,S08000020,2909,5,3,2,1,4,2,4,2,0,0
S01000041,S02000006,S12000033,S37000001,S08000020,3925,6,3,4,2,5,3,5,3,0,0
S01000042,S02000008,S12000033,S37000001,S08000020,2431,4,2,2,1,3,2,3,2,0,0
S01000043,S02000008,S12000033,S37000001,S08000020,3619,6,3,4,2,5,3,5,3,0,0
S01000044,S02000008,S12000033,S37000001,S08000020,1350,2,1,1,1,2,1,2,1,0,0
S01000045,S02000009,S12000033,S37000001,S08000020,6084,10,5,9,5,8,4,8,4,0,1
S01000046,S02000009,S12000033,S37000001,S08000020,6159,10,5,9,5,9,5,9,5,0,1
S01000047,S02000010,S12000033,S37000001,S08000020,3501,6,3,4,2,5,3,5,3,0,0
S01000048,S02000009,S12000033,S37000001,S08000020,6233,10,5,10,5,9,5,9,5,0,1
S01000049,S02000009,S12000033,S37000001,S08000020,6066,10,5,9,5,8,4,8,4,0,1
S01000050,S02000011,S12000033,S37000001,S08000020,5744,9,5,8,4,7,4,7,4,0,1
S01000051,S02000013,S12000033,S37000001,S08000020,6245,10,5,10,5,10,5,10,5,0,1
S01000052,S02000012,S12000033,S37000001,S08000020,700,2,1,1,1,1,1,1,1,1,0
S01000053,S02000010,S12000033,S37000001,S08000020,4991,8,4,7,4,6,3,6,3,0,0
S01000054,S02000009,S12000033,S37000001,S08000020,6071,10,5,9,5,8,4,8,4,0,1
S01000055,S02000012,S12000033,S37000001,S08000020,1103,2,1,1,1,1,1,1,1,0,0
S01000056,S02000007,S12000033,S37000001,S08000020,5629,9,5,8,4,7,4,7,4,0,1
S01000057,S02000015,S12000033,S37000001,S08000020,784,2,1,1,1,1,1,1,1,1,0
S01000058,S02000011,S12000033,S37000001,S08000020,6181,10,5,10,5,9,5,9,5,0,1
S01000059,S02000010,S12000033,S37000001,S08000020,6141,10,5,9,5,9,5,9,5,0,1
S01000060,S02000015,S12000033,S37000001,S08000020,221,1,1,1,1,1,1,1,1,1,0
S01000061,S02000013,S12000033,S37000001,S08000020,6244,10,5,10,5,10,5,10,5,0,1
S01000062,S02000011,S12000033,S37000001,S08000020,6179,10,5,10,5,9,5,9,5,0,1
S01000063,S02000011,S12000033,S37000001,S08000020,6340,10,5,10,5,10,5,10,5,0,1
S01000064,S02000012,S12000033,S37000001,S08000020,4322,7,4,5,3,5,3,5,3,0,0
S01000065,S02000010,S12000033,S37000001,S08000020,4475,7,4,5,3,6,3,6,3,0,0
S01000066,S02000012,S12000033,S37000001,S08000020,1971,3,2,2,1,3,2,3,2,0,0
S01000067,S02000013,S12000033,S37000001,S08000020,5885,10,5,9,5,8,4,8,4,0,1
S01000068,S02000010,S12000033,S37000001,S08000020,5945,10,5,9,5,8,4,8,4,0,1
S01000069,S02000012,S12000033,S37000001,S08000020,1290,2,1,1,1,2,1,2,1,0,0
S01000070,S02000015,S12000033,S37000001,S08000020,2059,4,2,2,1,3,2,3,2,0,0
S01000071,S02000015,S12000033,S37000001,S08000020,1079,2,1,1,1,1,1,1,1,0,0
S01000072,S02000014,S12000033,S37000001,S08000020,3608,6,3,4,2,5,3,5,3,0,0
S01000073,S02000013,S12000033,S37000001,S08000020,6394,10,5,10,5,10,5,10,5,0,1
S01000074,S02000015,S12000033,S37000001,S08000020,571,1,1,1,1,1,1,1,1,1,0
S01000075,S02000016,S12000033,S37000001,S08000020,5526,9,5,8,4,7,4,7,4,0,0
S01000076,S02000014,S12000033,S37000001,S08000020,6182,10,5,10,5,9,5,9,5,0,1
S01000077,S02000017,S12000033,S37000001,S08000020,6103,10,5,9,5,9,5,9,5,0,1
S01000078,S02000012,S12000033,S37000001,S08000020,1818,3,2,1,1,2,1,2,1,0,0
S01000079,S02000016,S12000033,S37000001,S08000020,6197,10,5,10,5,9,5,9,5,0,1
S01000080,S02000011,S12000033,S37000001,S08000020,5541,9,5,8,4,7,4,7,4,0,0
S01000081,S02000017,S12000033,S37000001,S08000020,6424,10,5,10,5,10,5,10,5,0,1
S01000082,S02000015,S12000033,S37000001,S08000020,1063,2,1,1,1,1,1,1,1,0,0
S01000083,S02000017,S12000033,S37000001,S08000020,6441,10,5,10,5,10,5,10,5,0,1
S01000084,S02000012,S12000033,S37000001,S08000020,1095,2,1,1,1,1,1,1,1,0,0
S01000085,S02000016,S12000033,S37000001,S08000020,4082,7,4,5,3,5,3,5,3,0,0
S01000086,S02000016,S12000033,S37000001,S08000020,6003,10,5,9,5,8,4,8,4,0,1
S01000087,S02000013,S12000033,S37000001,S08000020,6320,10,5,10,5,10,5,10,5,0,1
S01000088,S02000016,S12000033,S37000001,S08000020,5993,10,5,9,5,8,4,8,4,0,1
S01000089,S02000014,S12000033,S37000001,S08000020,6219,10,5,10,5,9,5,9,5,0,1
S01000090,S02000017,S12000033,S37000001,S08000020,6296,10,5,10,5,10,5,10,5,0,1
S01000091,S02000017,S12000033,S37000001,S08000020,4453,7,4,5,3,6,3,6,3,0,0
S01000092,S02000017,S12000033,S37000001,S08000020,5727,9,5,8,4,7,4,7,4,0,1
S01000093,S02000016,S12000033,S37000001,S08000020,4405,7,4,5,3,5,3,5,3,0,0
S01000094,S02000018,S12000033,S37000001,S08000020,5400,9,5,8,4,7,4,7,4,0,0
S01000095,S02000017,S12000033,S37000001,S08000020,6413,10,5,10,5,10,5,10,5,0,1
S01000096,S02000014,S12000033,S37000001,S08000020,1793,3,2,1,1,2,1,2,1,0,0
S01000097,S02000019,S12000033,S37000001,S08000020,6428,10,5,10,5,10,5,10,5,0,1
S01000098,S02000018,S12000033,S37000001,S08000020,1703,3,2,1,1,2,1,2,1,0,0
S01000099,S02000014,S12000033,S37000001,S08000020,6341,10,5,10,5,10,5,10,5,0,1
S01000100,S02000018,S12000033,S37000001,S08000020,2693,4,2,2,1,4,2,4,2,0,0
S01000101,S02000019,S12000033,S37000001,S08000020,5991,10,5,9,5,8,4,8,4,0,1
S01000102,S02000018,S12000033,S37000001,S08000020,1760,3,2,1,1,2,1,2,1,0,0
S01000103,S02000018,S12000033,S37000001,S08000020,6201,10,5,10,5,9,5,9,5,0,1
S01000104,S02000019,S12000033,S37000001,S08000020,6302,10,5,10,5,10,5,10,5,0,1
S01000105,S02000014,S12000033,S37000001,S08000020,5784,9,5,9,5,7,4,7,4,0,1
S01000106,S02000019,S12000033,S37000001,S08000020,6439,10,5,10,5,10,5,10,5,0,1
S01000107,S02000018,S12000033,S37000001,S08000020,3020,5,3,3,2,4,2,4,2,0,0
S01000108,S02000022,S12000033,S37000001,S08000020,2112,4,2,2,1,3,2,3,2,0,0
S01000109,S02000018,S12000033,S37000001,S08000020,3183,5,3,3,2,4,2,4,2,0,0
S01000110,S02000020,S12000033,S37000001,S08000020,4189,7,4,5,3,5,3,5,3,0,0
S01000111,S02000021,S12000033,S37000001,S08000020,6241,10,5,10,5,9,5,9,5,0,1
S01000112,S02000021,S12000033,S37000001,S08000020,2947,5,3,3,2,4,2,4,2,0,0
S01000113,S02000023,S12000033,S37000001,S08000020,6490,10,5,10,5,10,5,10,5,0,1
S01000114,S02000020,S12000033,S37000001,S08000020,2113,4,2,2,1,3,2,3,2,0,0
S01000115,S02000020,S12000033,S37000001,S08000020,2434,4,2,2,1,3,2,3,2,0,0
S01000116,S02000021,S12000033,S37000001,S08000020,6142,10,5,9,5,9,5,9,5,0,1
S01000117,S02000023,S12000033,S37000001,S08000020,5618,9,5,8,4,7,4,7,4,0,1
S01000118,S02000020,S12000033,S37000001,S08000020,3216,5,3,3,2,4,2,4,2,0,0
S01000119,S02000021,S12000033,S37000001,S08000020,2176,4,2,2,1,3,2,3,2,0,0
S01000120,S02000021,S12000033,S37000001,S08000020,5764,9,5,9,5,7,4,7,4,0,1
S01000121,S02000023,S12000033,S37000001,S08000020,3799,6,3,4,2,5,3,5,3,0,0
S01000122,S02000020,S12000033,S37000001,S08000020,1824,3,2,1,1,2,1,2,1,0,0
S01000123,S02000035,S12000033,S37000001,S08000020,5693,9,5,8,4,7,4,7,4,0,1
S01000124,S02000021,S12000033,S37000001,S08000020,4827,8,4,6,3,6,3,6,3,0,0
S01000125,S02000024,S12000033,S37000001,S08000020,2496,4,2,2,1,3,2,3,2,0,0
S01000126,S02000022,S12000033,S37000001,S08000020,1550,3,2,1,1,2,1,2,1,0,0
S01000127,S02000023,S12000033,S37000001,S08000020,6489,10,5,10,5,10,5,10,5,0,1
S01000128,S02000024,S12000033,S37000001,S08000020,4921,8,4,6,3,6,3,6,3,0,0
S01000129,S02000024,S12000033,S37000001,S08000020,5660,9,5,8,4,7,4,7,4,0,1
S01000130,S02000022,S12000033,S37000001,S08000020,3260,5,3,3,2,4,2,4,2,0,0
S01000131,S02000023,S12000033,S37000001,S08000020,6130,10,5,9,5,9,5,9,5,0,1
S01000132,S02000021,S12000033,S37000001,S08000020,5229,8,4,7,4,6,3,6,3,0,0
S01000133,S02000027,S12000033,S37000001,S08000020,2068,4,2,2,1,3,2,3,2,0,0
S01000134,S02000025,S12000033,S37000001,S08000020,1223,2,1,1,1,2,1,2,1,0,0
S01000135,S02000024,S12000033,S37000001,S08000020,1086,2,1,1,1,1,1,1,1,0,0
S01000136,S02000025,S12000033,S37000001,S08000020,1343,2,1,1,1,2,1,2,1,0,0
S01000137,S02000026,S12000033,S37000001,S08000020,3791,6,3,4,2,5,3,5,3,0,0
S01000138,S02000022,S12000033,S37000001,S08000020,4547,7,4,5,3,6,3,6,3,0,0
S01000139,S02000027,S12000033,S37000001,S08000020,2645,4,2,2,1,4,2,4,2,0,0
S01000140,S02000027,S12000033,S37000001,S08000020,2546,4,2,2,1,3,2,3,2,0,0
S01000141,S02000023,S12000033,S37000001,S08000020,5576,9,5,8,4,7,4,7,4,0,1
S01000142,S02000025,S12000033,S37000001,S08000020,883,2,1,1,1,1,1,1,1,1,0
S01000143,S02000035,S12000033,S37000001,S08000020,6422,10,5,10,5,10,5,10,5,0,1
S01000144,S02000022,S12000033,S37000001,S08000020,4900,8,4,6,3,6,3,6,3,0,0
S01000145,S02000027,S12000033,S37000001,S08000020,1146,2,1,1,1,2,1,2,1,0,0
S01000146,S02000024,S12000033,S37000001,S08000020,1838,3,2,1,1,2,1,2,1,0,0
S01000147,S02000022,S12000033,S37000001,S08000020,3187,5,3,3,2,4,2,4,2,0,0
S01000148,S02000025,S12000033,S37000001,S08000020,888,2,1,1,1,1,1,1,1,1,0
S01000149,S02000024,S12000033,S37000001,S08000020,3335,5,3,3,2,4,2,4,2,0,0
S01000150,S02000025,S12000033,S37000001,S08000020,2710,5,3,2,1,4,2,4,2,0,0
S01000151,S02000028,S12000033,S37000001,S08000020,1633,3,2,1,1,2,1,2,1,0,0
S01000152,S02000026,S12000033,S37000001,S08000020,4195,7,4,5,3,5,3,5,3,0,0
S01000153,S02000022,S12000033,S37000001,S08000020,2913,5,3,3,2,4,2,4,2,0,0
S01000154,S02000027,S12000033,S37000001,S08000020,2711,5,3,2,1,4,2,4,2,0,0
S01000155,S02000025,S12000033,S37000001,S08000020,1897,3,2,2,1,2,1,2,1,0,0
S01000156,S02000029,S12000033,S37000001,S08000020,2240,4,2,2,1,3,2,3,2,0,0
S01000157,S02000028,S12000033,S37000001,S08000020,762,2,1,1,1,1,1,1,1,1,0
S01000158,S02000028,S12000033,S37000001,S08000020,2209,4,2,2,1,3,2,3,2,0,0
S01000159,S02000035,S12000033,S37000001,S08000020,6193,10,5,10,5,9,5,9,5,0,1
S01000160,S02000025,S12000033,S37000001,S08000020,3077,5,3,3,2,4,2,4,2,0,0
S01000161,S02000029,S12000033,S37000001,S08000020,6388,10,5,10,5,10,5,10,5,0,1
S01000162,S02000028,S12000033,S37000001,S08000020,3061,5,3,3,2,4,2,4,2,0,0
S01000163,S02000027,S12000033,S37000001,S08000020,1560,3,2,1,1,2,1,2,1,0,0
S01000164,S02000032,S12000033,S37000001,S08000020,3645,6,3,4,2,5,3,5,3,0,0
S01000165,S02000026,S12000033,S37000001,S08000020,1114,2,1,1,1,2,1,2,1,0,0
S01000166,S02000029,S12000033,S37000001,S08000020,5709,9,5,8,4,7,4,7,4,0,1
S01000167,S02000030,S12000033,S37000001,S08000020,2642,4,2,2,1,4,2,4,2,0,0
S01000168,S02000030,S12000033,S37000001,S08000020,1403,3,2,1,1,2,1,2,1,0,0
S01000169,S02000028,S12000033,S37000001,S08000020,3374,6,3,3,2,4,2,4,2,0,0
S01000170,S02000029,S12000033,S37000001,S08000020,5820,9,5,9,5,7,4,7,4,0,1
S01000171,S02000035,S12000033,S37000001,S08000020,5684,9,5,8,4,7,4,7,4,0,1
S01000172,S02000028,S12000033,S37000001,S08000020,4990,8,4,7,4,6,3,6,3,0,0
S01000173,S02000028,S12000033,S37000001,S08000020,2090,4,2,2,1,3,2,3,2,0,0
S01000174,S02000035,S12000033,S37000001,S08000020,6309,10,5,10,5,10,5,10,5,0,1
S01000175,S02000026,S12000033,S37000001,S08000020,3012,5,3,3,2,4,2,4,2,0,0
S01000176,S02000032,S12000033,S37000001,S08000020,5862,9,5,9,5,8,4,8,4,0,1
S01000177,S02000033,S12000033,S37000001,S08000020,5958,10,5,9,5,8,4,8,4,0,1
S01000178,S02000031,S12000033,S37000001,S08000020,2399,4,2,2,1,3,2,3,2,0,0
S01000179,S02000032,S12000033,S37000001,S08000020,351,1,1,1,1,1,1,1,1,1,0
S01000180,S02000031,S12000033,S37000001,S08000020,2053,4,2,2,1,3,2,3,2,0,0
S01000181,S02000030,S12000033,S37000001,S08000020,1002,2,1,1,1,1,1,1,1,1,0
S01000182,S02000031,S12000033,S37000001,S08000020,1921,3,2,2,1,3,2,3,2,0,0
S01000183,S02000029,S12000033,S37000001,S08000020,2106,4,2,2,1,3,2,3,2,0,0
S01000184,S02000033,S12000033,S37000001,S08000020,5240,9,5,7,4,6,3,6,3,0,0
S01000185,S02000032,S12000033,S37000001,S08000020,959,2,1,1,1,1,1,1,1,1,0
S01000186,S02000033,S12000033,S37000001,S08000020,3755,6,3,4,2,5,3,5,3,0,0
S01000187,S02000030,S12000033,S37000001,S08000020,1972,3,2,2,1,3,2,3,2,0,0
S01000188,S02000032,S12000033,S37000001,S08000020,2706,5,3,2,1,4,2,4,2,0,0
S01000189,S02000030,S12000033,S37000001,S08000020,828,2,1,1,1,1,1,1,1,1,0
S01000190,S02000031,S12000033,S37000001,S08000020,1630,3,2,1,1,2,1,2,1,0,0
S01000191,S02000033,S12000033,S37000001,S08000020,5052,8,4,7,4,6,3,6,3,0,0
S01000192,S02000037,S12000033,S37000001,S08000020,1424,3,2,1,1,2,1,2,1,0,0
S01000193,S02000031,S12000033,S37000001,S08000020,1295,2,1,1,1,2,1,2,1,0,0
S01000194,S02000038,S12000033,S37000001,S08000020,872,2,1,1,1,1,1,1,1,1,0
S01000195,S02000036,S12000033,S37000001,S08000020,863,2,1,1,1,1,1,1,1,1,0
S01000196,S02000031,S12000033,S37000001,S08000020,284,1,1,1,1,1,1,1,1,1,0
S01000197,S02000031,S12000033,S37000001,S08000020,1873,3,2,2,1,2,1,2,1,0,0
S01000198,S02000034,S12000033,S37000001,S08000020,387,1,1,1,1,1,1,1,1,1,0
S01000199,S02000038,S12000033,S37000001,S08000020,689,2,1,1,1,1,1,1,1,1,0
S01000200,S02000033,S12000033,S37000001,S08000020,2026,3,2,2,1,3,2,3,2,0,0
S01000201,S02000033,S12000033,S37000001,S08000020,2151,4,2,2,1,3,2,3,2,0,0
S01000202,S02000033,S12000033,S37000001,S08000020,3452,6,3,3,2,5,3,5,3,0,0
S01000203,S02000036,S12000033,S37000001,S08000020,496,1,1,1,1,1,1,1,1,1,0
S01000204,S02000034,S12000033,S37000001,S08000020,1404,3,2,1,1,2,1,2,1,0,0
S01000205,S02000037,S12000033,S37000001,S08000020,3178,5,3,3,2,4,2,4,2,0,0
S01000206,S02000034,S12000033,S37000001,S08000020,2959,5,3,3,2,4,2,4,2,0,0
S01000207,S02000032,S12000033,S37000001,S08000020,847,2,1,1,1,1,1,1,1,1,0
S01000208,S02000034,S12000033,S37000001,S08000020,396,1,1,1,1,1,1,1,1,1,0
S01000209,S02000034,S12000033,S37000001,S08000020,275,1,1,1,1,1,1,1,1,1,0
S01000210,S02000038,S12000033,S37000001,S08000020,430,1,1,1,1,1,1,1,1,1,0
S01000211,S02000036,S12000033,S37000001,S08000020,986,2,1,1,1,1,1,1,1,1,0
S01000212,S02000034,S12000033,S37000001,S08000020,2012,3,2,2,1,3,2,3,2,0,0
S01000213,S02000038,S12000033,S37000001,S08000020,1583,3,2,1,1,2,1,2,1,0,0
S01000214,S02000039,S12000033,S37000001,S08000020,3576,6,3,4,2,5,3,5,3,0,0
S01000215,S02000035,S12000033,S37000001,S08000020,4493,7,4,5,3,6,3,6,3,0,0
S01000216,S02000036,S12000033,S37000001,S08000020,5147,8,4,7,4,6,3,6,3,0,0
S01000217,S02000036,S12000033,S37000001,S08000020,674,1,1,1,1,1,1,1,1,1,0
S01000218,S02000039,S12000033,S37000001,S08000020,2802,5,3,2,1,4,2,4,2,0,0
S01000219,S02000036,S12000033,S37000001,S08000020,845,2,1,1,1,1,1,1,1,1,0
S01000220,S02000037,S12000033,S37000001,S08000020,5477,9,5,8,4,7,4,7,4,0,0
S01000221,S02000038,S12000033,S37000001,S08000020,1671,3,2,1,1,2,1,2,1,0,0
S01000222,S02000039,S12000033,S37000001,S08000020,3604,6,3,4,2,5,3,5,3,0,0
S01000223,S02000039,S12000033,S37000001,S08000020,4871,8,4,6,3,6,3,6,3,0,0
S01000224,S02000043,S12000033,S37000001,S08000020,3373,6,3,3,2,4,2,4,2,0,0
S01000225,S02000041,S12000033,S37000001,S08000020,4815,8,4,6,3,6,3,6,3,0,0
S01000226,S02000042,S12000033,S37000001,S08000020,6088,10,5,9,5,8,4,8,4,0,1
S01000227,S02000040,S12000033,S37000001,S08000020,6175,10,5,10,5,9,5,9,5,0,1
S01000228,S02000039,S12000033,S37000001,S08000020,3923,6,3,4,2,5,3,5,3,0,0
S01000229,S02000043,S12000033,S37000001,S08000020,2558,4,2,2,1,3,2,3,2,0,0
S01000230,S02000041,S12000033,S37000001,S08000020,4032,7,4,5,3,5,3,5,3,0,0
S01000231,S02000040,S12000033,S37000001,S08000020,6392,10,5,10,5,10,5,10,5,0,1
S01000232,S02000041,S12000033,S37000001,S08000020,2977,5,3,3,2,4,2,4,2,0,0
S01000233,S02000041,S12000033,S37000001,S08000020,3405,6,3,3,2,5,3,5,3,0,0
S01000234,S02000040,S12000033,S37000001,S08000020,6133,10,5,9,5,9,5,9,5,0,1
S01000235,S02000040,S12000033,S37000001,S08000020,6297,10,5,10,5,10,5,10,5,0,1
S01000236,S02000042,S12000033,S37000001,S08000020,5306,9,5,7,4,6,3,6,3,0,0
S01000237,S02000043,S12000033,S37000001,S08000020,5672,9,5,8,4,7,4,7,4,0,1
S01000238,S02000040,S12000033,S37000001,S08000020,6458,10,5,10,5,10,5,10,5,0,1
S01000239,S02000042,S12000033,S37000001,S08000020,6026,10,5,9,5,8,4,8,4,0,1
S01000240,S02000041,S12000033,S37000001,S08000020,5448,9,5,8,4,7,4,7,4,0,0
S01000241,S02000044,S12000033,S37000001,S08000020,6462,10,5,10,5,10,5,10,5,0,1
S01000242,S02000042,S12000033,S37000001,S08000020,5848,9,5,9,5,8,4,8,4,0,1
S01000243,S02000041,S12000033,S37000001,S08000020,6467,10,5,10,5,10,5,10,5,0,1
S01000244,S02000043,S12000033,S37000001,S08000020,3679,6,3,4,2,5,3,5,3,0,0
S01000245,S02000044,S12000033,S37000001,S08000020,5037,8,4,7,4,6,3,6,3,0,0
S01000246,S02000045,S12000033,S37000001,S08000020,6007,10,5,9,5,8,4,8,4,0,1
S01000247,S02000044,S12000033,S37000001,S08000020,6321,10,5,10,5,10,5,10,5,0,1
S01000248,S02000044,S12000033,S37000001,S08000020,6230,10,5,10,5,9,5,9,5,0,1
S01000249,S02000046,S12000033,S37000001,S08000020,5665,9,5,8,4,7,4,7,4,0,1
S01000250,S02000044,S12000033,S37000001,S08000020,5811,9,5,9,5,7,4,7,4,0,1
S01000251,S02000044,S12000033,S37000001,S08000020,6365,10,5,10,5,10,5,10,5,0,1
S01000252,S02000045,S12000033,S37000001,S08000020,6079,10,5,9,5,8,4,8,4,0,1
S01000253,S02000044,S12000033,S37000001,S08000020,6306,10,5,10,5,10,5,10,5,0,1
S01000254,S02000046,S12000033,S37000001,S08000020,5927,10,5,9,5,8,4,8,4,0,1
S01000255,S02000045,S12000033,S37000001,S08000020,5896,10,5,9,5,8,4,8,4,0,1
S01000256,S02000045,S12000033,S37000001,S08000020,4864,8,4,6,3,6,3,6,3,0,0
S01000257,S02000043,S12000033,S37000001,S08000020,5321,9,5,7,4,7,4,7,4,0,0
S01000258,S02000045,S12000033,S37000001,S08000020,6331,10,5,10,5,10,5,10,5,0,1
S01000259,S02000046,S12000033,S37000001,S08000020,6044,10,5,9,5,8,4,8,4,0,1
S01000260,S02000045,S12000033,S37000001,S08000020,5952,10,5,9,5,8,4,8,4,0,1
S01000261,S02000047,S12000033,S37000001,S08000020,6009,10,5,9,5,8,4,8,4,0,1
S01000262,S02000047,S12000033,S37000001,S08000020,5768,9,5,9,5,7,4,7,4,0,1
S01000263,S02000046,S12000033,S37000001,S08000020,3566,6,3,4,2,5,3,5,3,0,0
S01000264,S02000047,S12000033,S37000001,S08000020,3744,6,3,4,2,5,3,5,3,0,0
S01000313,S02000057,S12000034,S37000002,S08000020,5806,9,5,9,5,9,5,9,5,0,1
S01000265,S02000047,S12000033,S37000001,S08000020,3643,6,3,4,2,5,3,5,3,0,0
S01000266,S02000047,S12000033,S37000001,S08000020,3965,6,3,4,2,5,3,5,3,0,0
S01000267,S02000047,S12000033,S37000001,S08000020,3782,6,3,4,2,5,3,5,3,0,0
S01000268,S02000048,S12000034,S37000002,S08000020,3046,5,3,3,2,2,1,2,1,0,0
S01000269,S02000048,S12000034,S37000002,S08000020,5036,8,4,7,4,6,3,6,3,0,0
S01000270,S02000048,S12000034,S37000002,S08000020,4279,7,4,5,3,4,2,4,2,0,0
S01000271,S02000048,S12000034,S37000002,S08000020,3185,5,3,3,2,2,1,2,1,0,0
S01000272,S02000049,S12000034,S37000002,S08000020,4879,8,4,6,3,6,3,6,3,0,0
S01000273,S02000048,S12000034,S37000002,S08000020,3867,6,3,4,2,3,2,3,2,0,0
S01000274,S02000050,S12000034,S37000002,S08000020,4040,7,4,5,3,4,2,4,2,0,0
S01000275,S02000049,S12000034,S37000002,S08000020,5475,9,5,8,4,8,4,8,4,0,0
S01000276,S02000050,S12000034,S37000002,S08000020,5923,10,5,9,5,9,5,9,5,0,1
S01000277,S02000050,S12000034,S37000002,S08000020,4681,8,4,6,3,5,3,5,3,0,0
S01000278,S02000050,S12000034,S37000002,S08000020,2423,4,2,2,1,1,1,1,1,0,0
S01000279,S02000049,S12000034,S37000002,S08000020,5482,9,5,8,4,8,4,8,4,0,0
S01000280,S02000050,S12000034,S37000002,S08000020,4586,7,4,6,3,5,3,5,3,0,0
S01000281,S02000049,S12000034,S37000002,S08000020,3879,6,3,4,2,3,2,3,2,0,0
S01000282,S02000050,S12000034,S37000002,S08000020,4364,7,4,5,3,4,2,4,2,0,0
S01000283,S02000050,S12000034,S37000002,S08000020,4927,8,4,6,3,6,3,6,3,0,0
S01000284,S02000053,S12000034,S37000002,S08000020,5051,8,4,7,4,6,3,6,3,0,0
S01000285,S02000053,S12000034,S37000002,S08000020,4977,8,4,7,4,6,3,6,3,0,0
S01000286,S02000051,S12000034,S37000002,S08000020,4816,8,4,6,3,5,3,5,3,0,0
S01000287,S02000051,S12000034,S37000002,S08000020,5990,10,5,9,5,9,5,9,5,0,1
